Site;X;Y;CellName;AZIMUT
S07555;87987;434245;G075553;300
S07567;81982;455072;G075671;0
S07567;81982;455072;G075672;20
S07570;81970;455050;G075701;0
S07570;81970;455050;G075702;20
S07574;81985;455093;G075741;0
S07574;81985;455093;G075742;20
S07577;63180;433075;G075771;30
S07577;63180;433075;G075772;150
S07577;63180;433075;G075773;270
S07583;189465;598355;G075831;90
S07583;189465;598355;G075831c;90
S07583;189465;598355;G075832;210
S07583;189465;598355;G075832c;210
S07583;189465;598355;G075833;330
S07583;189465;598355;G075833c;330
S07586;85612;446307;G075860;0
S07586;85612;446307;G075861;0
S07587;245156;475728;G075871;90
S07587;245156;475728;G075872;180
S07587;245156;475728;G075873;270
S07590;181016;579312;G075901;60
S07590;181016;579312;G075902;180
S07590;181016;579312;G075903;300
S07591;108474;487463;G075911;90
S07591;108474;487463;G075912;210
S07591;108474;487463;G075913;330
S07593;166293;556025;G075931;60
S07593;166293;556025;G075932;210
S07593;166293;556025;G075933;300
S07596;164898;559581;G075961;30
S07596;164898;559581;G075962;150
S07596;164898;559581;G075963;270
S07599;153644;544436;G075991;75
S07599;153644;544436;G075992;190
S07599;153644;544436;G075993;270
S07601;85604;451616;G076011;70
S07601;85604;451616;G076012;180
S07601;85604;451616;G076013;300
S07602;103521;397113;G076021;30
S07602;103521;397113;G076022;150
S07602;103521;397113;G076023;270
S07604;173730;530495;G076041;60
S07604;173730;530495;G076042;180
S07604;173730;530495;G076043;300
S07605;172362;526018;G076051;80
S07605;172362;526018;G076052;190
S07605;172362;526018;G076053;310
S07606;174722;521606;G076061;90
S07606;174722;521606;G076062;210
S07606;174722;521606;G076063;330
S07607;194191;526878;G076071;90
S07607;194191;526878;G076072;210
S07607;194191;526878;G076073;330
S07611;93531;435821;G076111;70
S07611;93531;435821;G076112;185
S07611;93531;435821;G076113;250
S07612;93433;435813;G076121;130
S07612;93433;435813;G076123;310
S07619;170916;558511;G076191;150
S07619;170916;558511;G076192;240
S07619;170916;558511;G076193;0
S07620;93962;474925;G076201;90
S07620;93962;474925;G076202;200
S07620;93962;474925;G076203;320
S07640;89994;451852;G076401;110
S07640;89994;451852;G076402;269
S07640;89994;451852;G076403;10
S07644;82072;455312;G076441;0
S07645;92100;437793;G076451;0
S07646;263035;478024;G076461;60
S07646;263035;478024;G076462;180
S07646;263035;478024;G076463;300
S07664;77616;391634;G076641;120
S07664;77616;391634;G076642;240
S07664;77616;391634;G076643;350
S07666;235114;591546;G076661;60
S07666;235114;591546;G076662;180
S07666;235114;591546;G076663;300
S07669;86146;453199;G076691;0
S07669;86146;453199;G076692;20
S07671;122966;484115;G076711;0
S07671;122966;484115;G076712;30
S07679;117233;527207;G076791;120
S07679;117233;527207;G076792;240
S07679;117233;527207;G076793;0
S07681;115637;523434;G076811;60
S07681;115637;523434;G076812;180
S07681;115637;523434;G076813;300
S07682;118649;523701;G076821;120
S07682;118649;523701;G076822;240
S07682;118649;523701;G076823;0
S07686;132845;522574;G076861;60
S07686;132845;522574;G076862;210
S07686;132845;522574;G076863;330
S07687;135871;447855;G076871;0
S07689;115646;487838;G076891;90
S07689;115646;487838;G076892;210
S07689;115646;487838;G076893;330
S07690;113642;483269;G076901;90
S07690;113642;483269;G076902;210
S07690;113642;483269;G076903;330
S07691;149159;410907;G076911;0
S07691;149159;410907;G076912;20
S07691;149159;410907;G076913;40
S07694;125016;479434;G076941;60
S07694;125016;479434;G076942;180
S07694;125016;479434;G076943;300
S07699;125230;488741;G076991;90
S07699;125230;488741;G076992;210
S07699;125230;488741;G076993;330
S07700;123537;488939;G077001;90
S07700;123537;488939;G077002;210
S07700;123537;488939;G077003;330
S07703;117210;521560;G077031;60
S07703;117210;521560;G077032;180
S07703;117210;521560;G077033;300
S07706;114044;517535;G077061;90
S07706;114044;517535;G077062;210
S07706;114044;517535;G077063;330
S07707;104036;490681;G077071;90
S07707;104036;490681;G077072;210
S07707;104036;490681;G077073;330
S07709;102749;490839;G077091;30
S07709;102749;490839;G077092;140
S07709;102749;490839;G077093;260
S07710;103375;488679;G077101;90
S07710;103375;488679;G077102;210
S07710;103375;488679;G077103;330
S07711;118936;484025;G077111;30
S07711;118936;484025;G077112;120
S07711;118936;484025;G077113;270
S07714;132370;456727;G077141;60
S07714;132370;456727;G077142;180
S07714;132370;456727;G077143;300
S07717;86282;451950;G077171;45
S07717;86282;451950;G077172;135
S07717;86282;451950;G077173;225
S07718;122686;521058;G077181;60
S07718;122686;521058;G077182;180
S07718;122686;521058;G077183;300
S07719;128540;510200;G077191;30
S07719;128540;510200;G077192;150
S07719;128540;510200;G077193;270
S07721;105930;507188;G077211;60
S07721;105930;507188;G077212;180
S07721;105930;507188;G077213;300
S07724;117011;518638;G077241;60
S07724;117011;518638;G077242;180
S07724;117011;518638;G077243;320
S07790;27978;388035;G077901;140
S07790;27978;388035;G077902;240
S07790;27978;388035;G077903;20
S07792;103152;427051;G077921;90
S07792;103152;427051;G077922;210
S07792;103152;427051;G077923;330
S07808;127879;457150;G078081;30
S07808;127879;457150;G078082;150
S07808;127879;457150;G078083;270
S07809;232509;577480;G078091;60
S07809;232509;577480;G078092;180
S07809;232509;577480;G078093;300
S07811;195703;560322;G078111;30
S07811;195703;560322;G078112;200
S07811;195703;560322;G078113;300
S07817;142546;463058;G078171;90
S07817;142546;463058;G078171c;90
S07817;142546;463058;G078172;210
S07817;142546;463058;G078172c;210
S07817;142546;463058;G078173;330
S07817;142546;463058;G078173c;330
S07821;83297;429412;G078211;80
S07821;83297;429412;G078212;190
S07821;83297;429412;G078213;310
S07822;157098;465828;G078221;60
S07822;157098;465828;G078222;180
S07822;157098;465828;G078223;300
S07825;83996;464365;G078251;60
S07825;83996;464365;G078252;180
S07825;83996;464365;G078253;300
S07835;191424;521136;G078351;30
S07835;191424;521136;G078352;140
S07835;191424;521136;G078353;270
S07840;203587;573615;G078401;90
S07840;203587;573615;G078402;210
S07840;203587;573615;G078403;330
S07842;199928;572383;G078421;90
S07842;199928;572383;G078422;210
S07842;199928;572383;G078423;330
S07845;107102;533433;G078451;60
S07845;107102;533433;G078452;180
S07845;107102;533433;G078453;300
S07847;96512;435533;G078471;120
S07847;96512;435533;G078472;210
S07847;96512;435533;G078473;330
S07848;190873;507964;G078481;90
S07848;190873;507964;G078482;210
S07848;190873;507964;G078483;330
S07855;207826;581378;G078551;170
S07855;207826;581378;G078552;270
S07855;207826;581378;G078553;10
S07862;203685;502675;G078621;0
S07862;203685;502675;G078622;20
S07869;207323;475625;G078691;90
S07869;207323;475625;G078692;210
S07869;207323;475625;G078693;330
S07871;189740;441690;G078711;0
S07871;189740;441690;G078712;20
S07871;189740;441690;G078713;40
S07878;162070;470765;G078781;30
S07878;162070;470765;G078782;150
S07878;162070;470765;G078783;270
S07880;31646;392303;G078801;120
S07880;31646;392303;G078802;240
